country,date,location,cause_of_death
Abania,2014-11-20,Tirana,Veh. Accid-Auto
Afghanistan,2012-05-05,Afghanistan,Terrorist Action
Afghanistan,2012-06-19,Afghanistan,Terrorist Action
Afghanistan,2015-01-14,Afghanistan/Pakistan Border,Hostage-related
Afghanistan,2013-04-29,"Bagram, Afghanistan",Air Accident
Afghanistan,2013-04-29,"Bagram, Afghanistan",Air Accident
Afghanistan,2013-04-29,"Bagram, Afghanistan",Air Accident
Afghanistan,2013-04-29,"Bagram, Afghanistan",Air Accident
Afghanistan,2013-04-29,"Bagram, Afghanistan",Air Accident
Afghanistan,2013-04-29,"Bagram, Afghanistan",Air Accident
Afghanistan,2013-04-29,"Bagram, Afghanistan",Air Accident
Afghanistan,2013-11-29,"Bagram, Afghanistan",Terrorist Action
Afghanistan,2013-11-29,"Bagram, Afghanistan",Terrorist Action
Afghanistan,2014-01-10,"Bagram,Parwan",Air Accident
Afghanistan,2010-05-19,"Bagram,Parwan, Afghanistan",Terrorist Action
Afghanistan,2012-04-18,"Camp Eggers, Kabul, Afghanistan",Suicide
Afghanistan,2014-07-30,"Dand ,Kandahar",Terrorist Action
Afghanistan,2014-04-24,"Darulaman,Kabul",Terrorist Action
Afghanistan,2014-04-24,"Darulaman,Kabul",Terrorist Action
Afghanistan,2014-04-24,"Darulaman,Kabul",Terrorist Action
Afghanistan,2011-04-28,"FOB Bermel/Boris, Afghanistan",Terrorist Action
Afghanistan,2012-06-01,"FOB Salerno, Afghanistan",Terrorist Action
Afghanistan,2013-06-08,"FOB Sharana, Afghanistan",Terrorist Action
Afghanistan,2010-08-05,"Faizabad, Badakhan, Afghanistan",Terrorist Action
Afghanistan,2010-08-05,"Faizabad, Badakhshan, Afghanistan",Terrorist Action
Afghanistan,2010-08-05,"Faizabad, Badakhshan, Afghanistan",Terrorist Action
Afghanistan,2010-08-05,"Faizabad, Badakhshan, Afghanistan",Terrorist Action
Afghanistan,2010-08-05,"Faizabad, Badakhshan, Afghanistan",Terrorist Action
Afghanistan,2010-08-05,"Faizabad, Badakhshan, Afghanistan",Terrorist Action
Afghanistan,2011-09-05,"Ghazni Province, Afghanistan",Terrorist Action
Afghanistan,2016-06-05,Helmand Province,Terrorist Action
Afghanistan,2012-01-16,"Helmand, Afghanistan",Air Accident
Afghanistan,2012-01-16,"Helmand, Afghanistan",Air Accident
Afghanistan,2012-01-16,"Helmand, Afghanistan",Air Accident
Afghanistan,2012-07-22,"Herat, Afghanistan",Terrorist Action
Afghanistan,2012-07-22,"Herat, Afghanistan",Terrorist Action
Afghanistan,2013-07-28,"Herat, Afghanistan",Other Accident
Afghanistan,2013-08-14,"Jalalabad, Afghanistan",Suicide
Afghanistan,2014-01-17,Kabul,Terrorist Action
Afghanistan,2014-01-17,Kabul,Terrorist Action
Afghanistan,2014-01-17,Kabul,Terrorist Action
Afghanistan,2014-03-21,Kabul,Terrorist Action
Afghanistan,2015-01-29,Kabul,Terrorist Action
Afghanistan,2015-01-29,Kabul,Terrorist Action
Afghanistan,2015-01-29,Kabul,Terrorist Action
Afghanistan,2015-05-13,Kabul,Terrorist Action
Afghanistan,2015-08-22,Kabul,Terrorist Action
Afghanistan,2015-08-22,Kabul,Terrorist Action
Afghanistan,2015-08-22,Kabul,Terrorist Action
Afghanistan,2015-12-21,Kabul,Terrorist Action
Afghanistan,2010-07-20,"Kabul, Afghanistan",Homicide
Afghanistan,2010-07-20,"Kabul, Afghanistan",Homicide
Afghanistan,2010-09-06,"Kabul, Afghanistan",Terrorist Action
Afghanistan,2010-09-06,"Kabul, Afghanistan",Terrorist Action
