column_a,travelcountries,travelpctchange,region
3,Egypt,-34.0925385922439,Africa
14,Thailand,-14.9959205142651,Asia
10,Pakistan,-2.99854571315169,Asia
11,Philippines,-2.3403782211674,Asia
16,Venezuela,-1.40665509681445,Americas
6,Honduras,-1.17907014353109,Americas
7,Israel,-0.056097840906795,Asia
8,Mexico,0.515420158651302,Americas
5,Haiti,0.530475306340426,Americas
4,El Salvador,1.76424742785692,Americas
12,Russia,4.02583699248735,Europe
2,Colombia,5.96900134207724,Americas
1,Bahrain,6.55102395379668,Asia
9,Nigeria,10.9910652244429,Africa
15,Ukraine,11.3687615413101,Europe
13,Saudi Arabia,11.9810542016793,Asia
